C, p
823, 0.001000
842, 0.001000
852, 0.001000
888, 0.001000
904, 0.001000
908, 0.001000
914, 0.001000
915, 0.001000
917, 0.001000
919, 0.002000
920, 0.001000
922, 0.001000
923, 0.001000
924, 0.004000
925, 0.002000
926, 0.003000
927, 0.003000
928, 0.001000
929, 0.008000
930, 0.004000
931, 0.006000
932, 0.001000
933, 0.009000
934, 0.009000
935, 0.005000
936, 0.005000
937, 0.007000
938, 0.016000
939, 0.009000
940, 0.008000
941, 0.012000
942, 0.012000
943, 0.016000
944, 0.018000
945, 0.012000
946, 0.016000
947, 0.014000
948, 0.018000
949, 0.014000
950, 0.029000
951, 0.025000
952, 0.020000
953, 0.020000
954, 0.025000
955, 0.027000
956, 0.022000
957, 0.019000
958, 0.030000
959, 0.029000
960, 0.026000
961, 0.024000
962, 0.026000
963, 0.027000
964, 0.023000
965, 0.025000
966, 0.022000
967, 0.022000
968, 0.022000
969, 0.020000
970, 0.021000
971, 0.021000
972, 0.019000
973, 0.009000
974, 0.025000
975, 0.011000
976, 0.009000
977, 0.014000
978, 0.010000
979, 0.017000
980, 0.015000
981, 0.009000
982, 0.009000
983, 0.010000
984, 0.007000
985, 0.005000
986, 0.007000
987, 0.008000
988, 0.004000
989, 0.004000
990, 0.002000
991, 0.003000
992, 0.001000
993, 0.004000
994, 0.001000
995, 0.001000
997, 0.001000
998, 0.002000
999, 0.002000
1000, 0.001000
1001, 0.002000
1002, 0.001000
1003, 0.001000
1004, 0.001000
1005, 0.001000
1008, 0.002000
1009, 0.001000
1013, 0.001000
1016, 0.001000
1028, 0.001000
1042, 0.001000
1071, 0.001000
1072, 0.001000
1084, 0.001000
1098, 0.001000
1116, 0.001000
1168, 0.001000
